iter	Passed	Remaining
466	723	825
467	724	823
468	726	822
469	727	820
470	728	818
471	729	816
472	730	814
473	732	812
474	733	810
475	734	808
476	735	806
477	736	804
478	737	802
479	738	800
480	739	797
481	740	796
482	741	794
483	743	792
484	744	790
485	745	788
486	746	786
487	747	784
488	748	782
489	749	780
490	750	778
491	751	776
492	753	774
493	754	772
494	755	770
495	756	768
496	757	766
497	758	764
498	759	763
499	761	761
500	762	759
501	763	757
502	764	755
503	765	753
504	766	751
505	767	749
506	768	747
507	770	745
508	771	744
509	772	742
510	773	740
511	774	738
512	775	736
513	776	734
514	778	732
515	779	730
516	780	728
517	781	726
518	782	725
519	783	723
520	784	721
521	785	719
522	786	717
523	788	715
524	789	713
525	790	712
526	791	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	797	698
533	798	697
534	799	695
535	801	693
536	802	691
537	803	689
538	804	688
539	805	686
540	806	684
541	807	682
542	808	680
543	809	678
544	810	677
545	812	675
546	813	673
547	814	671
548	815	669
549	816	668
550	817	666
551	818	664
552	820	662
553	821	661
554	822	659
555	823	657
556	824	655
557	825	654
558	827	652
559	828	650
560	829	648
561	830	647
562	831	645
563	832	643
564	833	641
565	834	640
566	836	638
567	837	636
568	838	634
569	839	633
570	840	631
571	841	629
572	842	627
573	843	626
574	844	624
575	846	622
576	847	621
577	848	619
578	849	617
579	851	616
580	852	614
581	853	612
582	854	611
583	855	609
584	856	607
585	857	605
586	858	604
587	860	602
588	861	601
589	862	599
590	863	597
591	864	596
592	865	594
593	866	592
594	868	590
595	869	589
596	870	587
597	871	585
598	872	584
599	873	582
600	875	580
601	876	579
602	877	577
603	878	575
604	879	574
605	880	572
606	881	570
607	882	569
608	883	567
609	885	565
610	886	564
611	887	562
612	888	560
613	889	559
614	890	557
615	891	556
616	893	554
617	894	552
618	895	551
619	896	549
620	897	547
621	898	546
622	899	544
623	900	542
624	901	541
625	903	539
626	904	537
627	905	536
628	906	534
629	907	533
630	908	531
631	909	529
632	910	528
633	911	526
634	912	524
635	914	523
636	915	521
637	916	519
638	917	518
639	918	516
640	919	515
641	920	513
642	921	511
643	923	510
644	924	508
645	925	507
646	926	505
647	927	503
648	928	502
649	929	500
650	930	498
651	931	497
652	932	495
653	933	494
654	935	492
655	936	491
656	937	489
657	938	487
658	939	486
659	940	484
660	941	482
661	942	481
662	943	479
663	945	478
664	946	476
665	947	475
666	948	473
667	949	471
668	950	470
669	951	468
670	952	467
671	953	465
672	955	464
673	956	462
674	957	460
675	958	459
676	959	457
677	960	456
678	961	454
679	962	453
680	963	451
681	965	449
682	966	448
683	967	446
684	968	445
685	969	443
686	971	442
687	972	440
688	973	439
689	974	437
690	975	436
691	976	434
692	978	433
693	979	432
694	981	430
695	982	429
696	983	427
697	984	426
698	985	424
699	986	422
700	987	421
701	989	419
702	990	418
703	991	416
704	992	415
705	993	413
706	994	412
707	995	410
708	996	409
709	998	407
710	999	406
711	1000	404
712	1001	403
713	1002	401
714	1003	399
715	1004	398
716	1005	396
717	1006	395
718	1008	394
719	1009	392
720	1010	391
721	1011	389
722	1013	388
723	1014	386
724	1015	385
725	1016	383
726	1017	382
727	1018	380
728	1019	379
729	1020	377
730	1021	376
731	1023	374
732	1024	373
733	1025	371
734	1026	370
735	1027	368
736	1029	367
737	1030	365
738	1031	364
739	1032	362
740	1033	361
741	1034	359
742	1035	358
743	1037	356
744	1039	355
745	1040	354
746	1041	352
747	1042	351
748	1044	349
749	1045	348
750	1046	346
751	1047	345
752	1048	343
753	1049	342
754	1050	340
755	1052	339
756	1053	338
757	1054	336
758	1055	335
759	1056	333
760	1057	332
761	1058	330
762	1060	329
763	1061	327
764	1062	326
765	1063	324
766	1064	323
767	1065	321
768	1067	320
769	1069	319
770	1070	317
771	1071	316
772	1072	315
773	1073	313
774	1074	312
775	1076	310
776	1077	309
777	1078	307
778	1079	306
779	1080	304
780	1081	303
781	1082	301
782	1083	300
783	1085	298
784	1086	297
785	1087	296
786	1088	294
787	1089	293
788	1090	291
789	1091	290
790	1092	288
791	1093	287
792	1094	285
793	1096	284
794	1097	282
795	1098	281
796	1099	280
797	1100	278
798	1101	277
799	1103	275
800	1104	274
801	1105	272
802	1106	271
803	1107	269
804	1108	268
805	1109	267
806	1110	265
807	1111	264
808	1112	262
809	1113	261
810	1115	259
811	1116	258
812	1117	257
813	1118	255
814	1120	254
815	1121	252
816	1122	251
817	1124	250
818	1125	248
819	1126	247
820	1127	245
821	1128	244
822	1130	243
823	1131	241
824	1132	240
825	1133	238
826	1134	237
827	1135	235
828	1136	234
829	1138	233
830	1139	231
831	1140	230
832	1141	228
833	1143	227
834	1144	226
835	1146	224
836	1147	223
837	1148	221
838	1149	220
839	1150	219
840	1151	217
841	1152	216
842	1153	214
843	1155	213
844	1156	212
845	1157	210
846	1158	209
847	1159	207
848	1161	206
849	1162	205
850	1163	203
851	1164	202
852	1165	200
853	1166	199
854	1167	198
855	1168	196
856	1170	195
857	1171	193
858	1172	192
859	1173	191
860	1174	189
861	1175	188
862	1176	186
863	1177	185
864	1179	184
865	1180	182
866	1181	181
867	1182	179
868	1183	178
869	1184	176
870	1185	175
871	1186	174
872	1187	172
873	1189	171
874	1190	170
875	1191	168
876	1192	167
877	1193	165
878	1194	164
879	1195	163
880	1196	161
881	1197	160
882	1199	158
883	1200	157
884	1201	156
885	1202	154
886	1203	153
887	1204	151
888	1206	150
889	1207	149
890	1208	147
891	1209	146
892	1210	145
893	1211	143
894	1212	142
895	1213	140
896	1214	139
897	1215	138
898	1217	136
899	1218	135
900	1219	134
901	1220	132
902	1221	131
903	1222	129
904	1223	128
905	1224	127
906	1226	125
907	1227	124
908	1228	122
909	1229	121
910	1230	120
911	1232	118
912	1233	117
913	1234	116
914	1235	114
915	1236	113
916	1237	112
917	1238	110
918	1240	109
919	1241	107
920	1242	106
921	1243	105
922	1244	103
923	1245	102
924	1247	101
925	1248	99
926	1250	98
927	1251	97
928	1252	95
929	1253	94
930	1254	92
